name,infrastructure_type,latitude,longitude
Little Peoples Nursery School,school,41.8086441,-87.6858858
Local Evangelico Avondale,place_of_worship,41.932532,-87.7089456
Livestone Missionary Baptist Church,place_of_worship,41.8538704,-87.7147789
Messiah Lutheran Church,place_of_worship,41.7800324,-87.7678324
Mision Bautista Northwest,place_of_worship,41.8928103,-87.6822768
Miracle Healing Temple,place_of_worship,41.9050324,-87.6831106
Miriam Daniels School,school,41.8805437,-87.7713986
Jesus the House of Prayer of the Lord Jesus Christ,place_of_worship,41.6750906,-87.6189005
Mercy Hall,school,41.7119383,-87.713342
Jehovahs Witnesses Lawndale Unit,place_of_worship,41.8658736,-87.731097
Jehovahs Witnesses South Unit,place_of_worship,41.7505893,-87.66005
Jehovahs Witnesses Roseland Unit,place_of_worship,41.6878122,-87.6211584
Israel of Gods Church,place_of_worship,41.8569768,-87.7194994
Korean Presbyterian Church of Chicago,place_of_worship,41.9603817,-87.6756835
Korean Sae-Ihl Church of Jehovah,place_of_worship,41.9738088,-87.7009759
Korean Evangelical Covenant Church of Chicago,place_of_worship,41.984476,-87.714225
Knee Way Pentecostal Church of God in Christ,place_of_worship,41.8803099,-87.7422786
Community Vinegard Missionary Baptist Church,place_of_worship,41.7736446,-87.6697732
Community Bible Teaching Pentecostal Church,place_of_worship,41.6998249,-87.6119121
Christian Faith Missionary Baptist Church,place_of_worship,41.8941987,-87.7431125
Christian Doctrine Baptist Church,place_of_worship,41.7503115,-87.66005
