hex_id,hex_q,hex_r,count,centroid_lat,centroid_lon
-7350_3435,-7350,3435,4,41.9433678904833,-87.6376284522242
-7349_3419,-7349,3419,4,41.782804953337255,-87.74654339215594
-7354_3427,-7354,3427,4,41.863136821663865,-87.76210266928904
-7333_3414,-7333,3414,4,41.73254636233219,-87.53649315085902
-7358_3440,-7358,3440,3,41.99346110759678,-87.72320447645627
-7360_3437,-7360,3437,3,41.96340990415634,-87.77766194642214
-7359_3432,-7359,3432,3,41.91329305408127,-87.8010008621218
-7361_3438,-7361,3438,3,41.97342854763756,-87.78544158498869
-7362_3440,-7362,3440,3,41.99346110759678,-87.78544158498869
-7357_3439,-7357,3439,3,41.983445615470494,-87.71542483788973
-7359_3438,-7359,3438,3,41.97342854763756,-87.75432303072249
-7328_3406,-7328,3406,3,41.652050762297264,-87.5209338737259
-7350_3420,-7350,3420,3,41.79285194828347,-87.75432303072249
-7351_3421,-7351,3421,3,41.80289736866588,-87.76210266928904
-7354_3441,-7354,3441,3,42.00347502395832,-87.65318772935727
-7335_3410,-7335,3410,3,41.69231115377578,-87.5987302593914
-7346_3414,-7346,3414,3,41.73254636233219,-87.73876375358938
-7329_3406,-7329,3406,3,41.652050762297264,-87.53649315085902
-7350_3418,-7350,3418,3,41.7727563838894,-87.7698823078556
-7350_3433,-7350,3433,3,41.92331957492203,-87.65318772935727
-7351_3418,-7351,3418,3,41.7727563838894,-87.78544158498869
-7351_3420,-7351,3420,3,41.79285194828347,-87.7698823078556
-7340_3409,-7340,3409,3,41.68224841664469,-87.6843062836235
-7352_3419,-7352,3419,3,41.782804953337255,-87.79322122355526
-7330_3407,-7330,3407,2,41.66211822084092,-87.54427278942553
-7331_3408,-7331,3408,2,41.67218410564494,-87.55205242799208
-7365_3439,-7365,3439,2,41.983445615470494,-87.83989905495457
-7365_3438,-7365,3438,2,41.97342854763756,-87.84767869352112
-7334_3411,-7334,3411,2,41.702372316973985,-87.57539134369176
-7334_3408,-7334,3408,2,41.67218410564494,-87.5987302593914
-7332_3413,-7332,3413,2,41.7224899213159,-87.52871351229244
-7332_3406,-7332,3406,2,41.652050762297264,-87.5831709822583
-7364_3441,-7364,3441,2,42.00347502395832,-87.80878050068837
-7331_3407,-7331,3407,2,41.66211822084092,-87.55983206655866
-7362_3439,-7362,3439,2,41.983445615470494,-87.79322122355526
-7363_3441,-7363,3441,2,42.00347502395832,-87.79322122355526
-7360_3439,-7360,3439,2,41.983445615470494,-87.76210266928904
