variable,z_percentile,n,rho_spearman,p_value
burglary,60,15,0.7218607710077991,0.002377525834398157
burglary,61,15,0.7011605962421799,0.00358606980397636
burglary,62,15,0.4667931261158023,0.07940461108192104
burglary,63,16,0.6355729926395419,0.008145326008543822
burglary,64,15,0.05008952558646071,0.8592917563862981
burglary,65,15,0.8504954577915342,5.875690630301941e-05
burglary,66,15,0.6702552013550314,0.006251326200588276
burglary,67,16,0.8813580860052236,6.448028161392348e-06
burglary,68,15,0.9669351492880477,4.312718158558453e-09
burglary,69,15,0.8157437024080745,0.00020919307061649937
burglary,70,15,0.9499120745146656,6.154847039634622e-08
burglary,71,16,0.6863515362935738,0.003323103573109957
burglary,72,15,0.9496648640637746,6.351180978745883e-08
burglary,73,15,0.8228993489204259,0.0001647050737629425
burglary,74,15,0.5346610698199139,0.040031489012843445
burglary,75,15,0.9018203841734087,4.3431463374029054e-06
burglary,76,16,0.4301609677512975,0.0962912655652583
burglary,77,15,0.8139547907799867,0.0002217303129025861
burglary,78,15,0.85331084659792,5.229827956844568e-05
burglary,79,15,0.7477650605407349,0.0013491895704556636
burglary,80,16,0.8748168544850987,9.220225527553341e-06
burglary,81,15,0.8254282232460995,0.00015098002622177743
burglary,82,15,0.8930994246322639,7.389712363531637e-06
burglary,83,15,0.7417339869769682,0.0015482462424173562
burglary,84,16,0.8546183645461919,2.4839597648671286e-05
burglary,85,15,0.7547319081399414,0.0011455017507604713
burglary,86,15,0.8556139839760039,4.746166071950457e-05
burglary,87,15,0.7931989216876836,0.0004179414140729923
burglary,88,16,0.8589402326368469,2.0352877477808924e-05
burglary,89,15,0.6355567947884386,0.010886541890958829
burglary,90,15,0.8974950790501637,5.68649081491502e-06
burglary,91,15,0.7256481896690339,0.0021969318160720407
burglary,92,16,0.4121708564570184,0.11264365661687487
burglary,93,15,0.7448549693500595,0.0014424826902305892
burglary,94,15,0.4035714285714285,0.13576799650365623
burglary,95,15,0.8433333907785528,7.821005965986766e-05
burglary,96,16,0.8844741173021534,5.398112158707179e-06
burglary,97,15,0.8285714285714284,0.00013524478013276988
burglary,98,15,0.7889100279867562,0.00047230787993287764
burglary,99,15,0.8451211981196306,7.291808210261936e-05
burglary,100,15,0.9272940983982257,6.563864061444076e-07
concealed_carry_license_violation,1,16,0.37980114551781574,0.1467782180774069
concealed_carry_license_violation,2,15,0.4885607558339491,0.06461574425296493
concealed_carry_license_violation,3,15,0.09961819504022261,0.7239170788605476
concealed_carry_license_violation,4,15,0.3177195940124321,0.2485067039471391
concealed_carry_license_violation,5,16,0.4617821027656043,0.07175631548629506
concealed_carry_license_violation,6,15,0.5145558101523765,0.049698669915714734
concealed_carry_license_violation,7,15,0.6209002019328479,0.013504108760187995
concealed_carry_license_violation,8,15,,
concealed_carry_license_violation,9,16,0.5572782125753528,0.024919569180328786
concealed_carry_license_violation,10,15,-0.23652495839563306,0.3960342170549571
concealed_carry_license_violation,11,15,0.14931034117451938,0.5953484949404126
concealed_carry_license_violation,12,15,0.27858561679542726,0.3146837966769678
concealed_carry_license_violation,13,16,0.31636150582658806,0.2325704560319376
concealed_carry_license_violation,14,15,0.3588557823520091,0.18900123996846033
concealed_carry_license_violation,15,15,0.666664874588102,0.006641641404564001
concealed_carry_license_violation,16,15,0.3297404663841548,0.23005386501493444
concealed_carry_license_violation,17,16,0.17342978355924446,0.5206507418009023
concealed_carry_license_violation,18,15,0.35994669138535024,0.18756246660255382
concealed_carry_license_violation,19,15,0.48427427764128733,0.06735610594057748
concealed_carry_license_violation,20,15,0.09431661927005451,0.7381208030221607
concealed_carry_license_violation,21,16,-0.07210082257679265,0.790737226982405
concealed_carry_license_violation,22,15,0.0077775297329453815,0.9780536844893798
concealed_carry_license_violation,23,15,0.040186901847534345,0.8869247222366383
concealed_carry_license_violation,24,15,0.03390577342415128,0.9045168163032061
concealed_carry_license_violation,25,15,-0.0475185853813652,0.8664525754290714
concealed_carry_license_violation,26,16,0.31939706512616317,0.22787242811258168
concealed_carry_license_violation,27,15,0.30644295259150184,0.2666194934860101
concealed_carry_license_violation,28,15,0.009166764882530855,0.9741347137214825
concealed_carry_license_violation,29,15,-0.03570821340518559,0.899464010113037
concealed_carry_license_violation,30,16,0.04586520678133618,0.8660590186752898
concealed_carry_license_violation,31,15,-0.48994042855583114,0.06375115231237077
concealed_carry_license_violation,32,15,0.07166663680557422,0.7996428486676537
concealed_carry_license_violation,33,15,0.3982304067332761,0.14151816745005116
concealed_carry_license_violation,34,16,0.7078728775988725,0.0021543319955095543
concealed_carry_license_violation,35,15,0.06258971101374841,0.824629219377752
concealed_carry_license_violation,36,15,0.37451267035941554,0.1690310286495435
concealed_carry_license_violation,37,15,0.5578618996773309,0.030699153124456476
concealed_carry_license_violation,38,16,0.17432545345616354,0.518465967926909
concealed_carry_license_violation,39,15,0.5699426400702147,0.026543285912694586
concealed_carry_license_violation,40,15,0.40712960102660867,0.13202647033132586
concealed_carry_license_violation,41,15,0.3553345272593508,0.19369401757326238
concealed_carry_license_violation,42,16,-0.41285447185040697,0.11198900160939675
concealed_carry_license_violation,43,15,,
concealed_carry_license_violation,44,15,,
concealed_carry_license_violation,45,15,,
concealed_carry_license_violation,46,16,-0.09759000729485333,0.719180010583985
concealed_carry_license_violation,47,15,,
concealed_carry_license_violation,48,15,,
concealed_carry_license_violation,49,15,,
concealed_carry_license_violation,50,15,0.2520520815905943,0.3647977908395166
concealed_carry_license_violation,51,16,-0.02819970137747701,0.9174324424922332
concealed_carry_license_violation,52,15,-0.04103090173490489,0.8845644175693181
concealed_carry_license_violation,53,15,0.2983470948593081,0.2801018949329651
concealed_carry_license_violation,54,15,0.14953958130392406,0.5947771193882518
concealed_carry_license_violation,55,16,0.16871249367574634,0.5322264533549403
concealed_carry_license_violation,56,15,0.35355339059327384,0.19609610052481846
concealed_carry_license_violation,57,15,0.643016343211185,0.009716037689098764
concealed_carry_license_violation,58,15,-0.12425208952354173,0.6590722118266608
concealed_carry_license_violation,59,16,-0.061579451659264824,0.8207728764979493
concealed_carry_license_violation,60,15,0.37798104869273985,0.1648034091851959
concealed_carry_license_violation,61,15,0.43752019992151975,0.10290092263470028
concealed_carry_license_violation,62,15,0.025624772785461627,0.9277720216105521
concealed_carry_license_violation,63,16,0.19697278151548597,0.46466319022208036
concealed_carry_license_violation,64,15,0.10676956366554212,0.7048898644567172
