variable,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
infra_laundry,0.022673423921290202,0.04598218158710798,-0.0866012891278478,-0.17104747603441112,-0.17906902455263968,0.039111473919504966,-0.08905843418659803,0.28075260662704443,0.1576694419891234,-0.01798928890215317
infra_library,0.03040297708434011,0.05822918826024679,-0.06862996476199963,0.0417339073641163,-0.011109425996043911,0.04023237752446674,-0.040206182225391775,0.04933877947167855,-0.14390615992445957,0.025635898577115748
infra_monastery,0.0021693371221737493,0.010900745687989214,-0.03363999675362036,-0.02434043599926961,-0.05265269396522655,0.05419645464878621,0.05557474350872046,0.12611603813906866,0.13360759596890898,0.06440554066214269
infra_nightclub,0.03373918760947211,0.1454516325054836,0.2754571104146201,-0.023422685982079302,0.11735741594548167,0.05079298798956235,0.051932855498861626,0.10137040151255555,0.21845198076633204,0.25531993124682373
infra_nursing_home,0.003259565903963821,0.005829903671389674,-0.02766750064124234,0.18282193145659906,-0.08145879623139633,-0.20517757048271035,0.12679953385943,0.24910617482374478,0.11709513161020114,-0.25361192395756144
infra_park,0.04064558123577959,0.14112709534607643,-0.14742781527194235,-0.016944465696704547,0.21794370905740862,-0.06030747121684096,0.30041929753567803,0.05019953175472468,-0.034313930720600364,0.2997233314023335
infra_payment_terminal,0.019088086833955027,0.07144977072986856,0.027232357569635355,0.027373763390232043,0.25111755550529274,-0.04544658455505406,0.07390508815622673,0.01129974476345622,0.3412386754910854,0.26275528373954693
infra_pharmacy,0.050898405858575003,0.18324783284811047,0.02808001964704688,-0.025968158553669195,-0.05173469975168752,-0.12369236773112141,-0.0539576570150511,0.08047189926445959,0.030657029632174374,-0.08626327884847138
infra_place_of_worship,0.12822516473900783,-0.0851922404161674,-0.026599285677195727,-0.07653324645454972,-0.027355043338771968,0.03241236452699567,-0.003525011442083962,-0.01773790493006531,-0.040236039034349,0.005647499234766372
infra_playground,0.04944012416667856,0.03521180962884001,-0.17376781374651123,-0.128549326696791,0.13812529829399753,0.03216551052268286,0.37749272464750816,0.2046845494351353,-0.1875974978358393,0.2918463384926449
