variable,z_percentile,n,rho_spearman,p_value
criminal_sexual_assault,13,32,0.3645222086567598,0.040248529344119086
criminal_sexual_assault,15,15,0.2210595685033691,0.42850388619058827
criminal_sexual_assault,16,26,0.5581468265786632,0.0030457401126426495
criminal_sexual_assault,18,28,0.10193054427499573,0.6057688351562162
criminal_sexual_assault,20,42,0.046056361512461244,0.772102878181036
criminal_sexual_assault,22,16,0.23934940065356403,0.37195696604360906
criminal_sexual_assault,23,27,0.2386153748487714,0.23067519240111126
criminal_sexual_assault,25,14,0.6345865746104187,0.014776525016270995
criminal_sexual_assault,26,12,0.6112365581560251,0.034716140857674146
criminal_sexual_assault,27,21,0.46776325912467753,0.03249189460148226
criminal_sexual_assault,28,36,0.24683000740022096,0.14670239670044402
criminal_sexual_assault,30,23,0.40420919797751864,0.05575259651384253
criminal_sexual_assault,32,20,0.5743253269010772,0.008087791800998913
criminal_sexual_assault,33,7,0.6605782590758165,0.10626635484924553
criminal_sexual_assault,34,31,0.48073727984426196,0.006190582840118771
criminal_sexual_assault,35,10,0.7948198188736826,0.0060031883973839534
criminal_sexual_assault,36,17,0.7295375199898038,0.0008883160291826596
criminal_sexual_assault,37,15,0.6518278785033751,0.008462620462237445
criminal_sexual_assault,38,15,0.7162287621696491,0.0026678799657102238
criminal_sexual_assault,42,115,-0.07674883445032747,0.4149281724469829
criminal_sexual_assault,47,19,0.17715635042277902,0.4681134501784331
criminal_sexual_assault,48,26,0.7289150128023157,2.4068835975152425e-05
criminal_sexual_assault,50,16,0.5072366629376527,0.04491126671965703
criminal_sexual_assault,51,20,-0.20463197475693734,0.38680400976921125
criminal_sexual_assault,52,17,0.652924189599567,0.004488719469817781
criminal_sexual_assault,53,15,0.7576625771611845,0.0010676184507993328
criminal_sexual_assault,54,16,0.29864084095768,0.2612060038184324
criminal_sexual_assault,55,9,0.359870718097794,0.34145880474720414
criminal_sexual_assault,57,36,0.6993026379576363,2.0859642173269324e-06
criminal_sexual_assault,58,8,0.06707317073170732,0.874614482643929
criminal_sexual_assault,59,23,0.5965087281795511,0.0026613416494588884
criminal_sexual_assault,60,19,0.7557686468559927,0.00018212619905799636
criminal_sexual_assault,61,9,0.20273958938337894,0.6008689216306609
criminal_sexual_assault,62,23,0.6914077590480492,0.00025842070251663117
